author_id,author_name,日发帖量,发帖时间间隔异常（连续小于5秒的次数）,发文及评论内容相似度,是否为机器人(1是真人，0是机器人）
88_3xhycz3c4ge8qsa,用户5570666174,0,0,0,1
88_3xkr74bxxk7bvb4,小林子陪小榛鸭,0,0,0,1
88_3xu3bgp3dq72mzk,快手用户1645514819959,18,0,0.231611261,1
88_3xiabdcwqq2m6ku,请叫我晴格格,0,0,0,1
88_3xtqze2t5dd88hk,软茶.,6,0,-0.010839177,1
88_3xjvnbp5xgbvz4s,秋天的树□2,0,0,0,1
88_3xdrwsxh9bm73h4,瑞金恒邦王秀梅,0,0,0,1
88_3xh25e256xhduze,*^o^*爱婷仔*＾◎＾,0,0,0,1
88_3xvppdv5u4nb88g,杨绍宏,0,0,0,1
88_3x7z32svn7siq7w,白,0,0,0,1
88_3x95dy92ne7mbge,美羊羊,0,0,0,1
88_3xjac3gy37np3h9,User_2179375237,0,0,0,1
88_3xq8h6vzcuvb994,大悦悦,0,0,0,1
88_3xttc49wvzwwb8g,User_2621391576,0,0,0,1
88_3x6stwyg9kpu9v6,憧憬未来,0,0,0,1
88_3xm43aq63udfung,快手用户1665278961431,0,0,0,1
88_3xxuakjzb6cg68e,小池饱饱,0,0,0,1
88_3x2ivfrg6ddbpr6,花钱买享受,0,0,0,1
88_3x5vvcyrccqb4hi,嘿，逗比,0,0,0,1
88_3xwyx55j573nkjk,余生,0,0,0,1
88_3x9c2nakiuhvxe4,User_1467999607,0,0,0,1
88_3xh4q4kbkebbcea,桔子熟了吗,0,0,0,1
88_3xei3fc8twc3jhi,黄宗友,0,0,0,1
88_3xy3fb759rgpau9,萝卜哥哥。,0,0,0,1
88_3xh3h44fj2ypjva,快手用户1679657472492,0,0,0,1
88_3x754j63qqij98g,我就是我~4220,0,0,0,1
88_3xj2v3a2mvnieb4,User_1897704243,0,0,0,1
88_3x29yqh253kjh9k,总伤女人心,5,0,0.026810693,1
88_3xtphbh6rfaqu2m,宿醉,0,0,0,1
88_3xhmxbfet3kxmd2,快手用户1675648841418,0,0,0,1
88_3xwpguwqm7uc59w,??沫沫不开心??,0,0,0,1
88_3xr6mpk5623dg7s,思念是一种病0293,0,0,0,1
88_3xfpxn6yqn75jg2,小小苏,0,0,0,1
88_3xa68ajp7cvaqui,??,0,0,0,1
88_3xrgdrujh37bqq9,乐观,0,0,0,1
88_3xptceif968zk5u,叶.?,0,0,0,1
88_3xdrke2svf5yqfy,User_1280057930,0,0,0,1
88_3xx9h2hqhe53ewg,蛮牛138,0,0,0,1
88_3xs7w7m4ik29qym,王金娥867,0,0,0,1
88_3x5tpyk95kibj39,星耀,0,0,0,1
88_3xg728ajdri4y6e,WFWD,0,0,0,1
88_3x2hwutpjew5f79,User_1280046158,0,0,0,1
88_3xs9zgcia8a3kbi,叶晨尘埃,0,0,0,1
88_3x83869nqt5ay2u,放弃,0,0,0,1
88_3xm9dpy7qkb69ve,^O^,0,0,0,1
88_3x62b7zkje5u796,啊,0,0,0,1
88_3xeqq4krv73cyby,快手用户1666540994619,0,0,0,1
88_3xq2ur8f7nehvu6,教父是我儿,0,0,0,1
88_3xn4te2pc3pd9ju,游客3008,0,0,0,1
88_3xe7swcvnca5p3a,王大帅比,12,0,-0.010839177,1
88_3x9ec8s4nyh5ubu,护手霜,0,0,0,1
88_3xmmd86sg9jhim4,寻爱,0,0,0,1
88_3xmc5wku7mxdy7w,我的爱”只给你 1/1凯,0,0,0,1
88_3xhzci93qtr5zuy,简  .,0,0,0,1
88_3xyc5tvctzkj554,单身暖爸超然,0,0,0,1
88_3x4t78ddzpxnud4,突然不想平凡,0,0,0,1
88_3x6g427qxdp7phs,User_1596713382349,0,0,0,1
88_3xdyj6faanrntae,Phoebegg-g6,0,0,0,1
88_3xavs9vaynt8u5c,浅忆F微凉ペ199,0,0,0,1
88_3xhc7s9g8j3e6g9,机灵鬼德丽,0,0,0,1
88_3xiidy37s7qd4hg,头号可爱?,0,0,0,1
88_3xjmx8c2njtur7w,User_445333092,0,0,0,1
88_3x39v7euianm5xm,炜豪,0,0,0,1
88_3x44dennebbp4su,。：,0,0,0,1
88_3xzcu65pm84xw6i,ZHANG YIXIN,0,0,0,1
88_3xan28y9tknwcg9,杠精大队成员，一一,0,0,0,1
88_3xr85328dp9x6e2,福幸AKB9BNN2,0,0,0,1
88_3x2u7vpwikeyc84,微笑、牵强,0,0,0,1
88_3xf8sv9zf29nv6y,强人2914,0,0,0,1
88_3xi6nukudvvmy8y,lpuxbveh,0,0,0,1
88_3xjhhv2d7if2r6c,快手用户1682564981298,0,0,0,1
88_3xd4bhr5h2mqpgg,山川.,0,0,0,1
88_3xf3wukz7v5km6i,白小白,0,0,0,1
88_3xnsmg43abasjsk,快手用户1643506986478,0,0,0,1
88_3xdh7i2zdzqwtsy,优诚优品,0,0,0,1
88_3xga6zf2mne8dde,だ湫娜,0,0,0,1
88_3xxe6737i5haud2,开始就要结束,0,0,0,1
88_3xftsbx66fbfd7i,小悦悦9049,0,0,0,1
88_3xafm73nqe6ib3u,rtjwqkag,0,0,0,1
88_3xm5gv5dw55pgi6,小三 你别拽  我照样甩,0,0,0,1
88_3x3s5sizawmzsye,晨晨,0,0,0,1
88_3x949byzip7skf2,s男人不狠、江山不稳、,0,0,0,1
88_3xb6bvs839td5ys,User_1973524144,0,0,0,1
88_3xsm5tr3unapr3u,思念雨夜,3,0,0.031454897,1
88_3x5zdahzjed3e66,?2?金瑞,0,0,0,1
88_3x2jnnxm3evqk7y,User_2747748960,0,0,0,1
88_3xaxgwk6is4g5pq,峡江155,0,0,0,1
88_3x3cavb2rmnmh8y,快手用户1676841372418,0,0,0,1
88_3xca4ckq4g9gpbk,克源b,0,0,0,1
88_3x53kdtmdcww48i,有李走天下,0,0,0,1
88_3xav4jphubir6yc,。,0,0,0,1
88_3xschqyx2ee94vk,User_855722437,0,0,0,1
88_3xiebfx7xpch9rs,哄哄玩具,0,0,0,1
88_3xkg4ta4rhe3e2g,快手用户1670061504582,0,0,0,1
88_3xr3i3z3y94bbya,青春,0,0,0,1
88_3xancbrwkrt7pxk,、Start-i,0,0,0,1
88_3xbq4re5w594i22,王戍香,0,0,0,1
88_3xgqev2ai7hzq2i,沈言[接配音],0,0,0,1
88_3xvvm8uvgnvgjbs,芳芳^_^,0,0,0,1
88_3xsv4yj56qxx2ps,owicufgx,0,0,0,1
88_3xmu3bsmmzf46ue,syn,0,0,0,1
88_3xrcvv3dhg7tze9,故渊,0,0,0,1
88_3xvx3pndiq6x5ts,韬涛王,0,0,0,1
88_3x8setp2k2hwt44,阿瑛‘（尘客）（丽家军）,14,0,-0.02401119,1
88_3xyfmvj4f7jb3si,??黑咖~323,0,0,0,1
88_3xmbvv5igyp2bpw,a曾是男兵,0,0,0,1
88_3x99wfsfrkut469,假情假意假温柔38,0,0,0,1
88_3x4kkp4w8bz6vhu,?富贵在天518?,0,0,0,1
88_3xb62gauvs8gxae,郑田,0,0,0,1
88_3xpz3saw3whyicm,亡亡灵魂,0,0,0,1
88_3xdkqvuq9u4e5t6,东街姑娘西街少年,0,0,0,1
88_3xwcfa4dkc8mdh9,User_2138964713,0,0,0,1
88_3xdchua3j6yw8as,隆林仔????,0,0,0,1
88_3x3bhbhtankfbpu,我的快就是想你939,0,0,0,1
88_3xqkrp8ns4hr3cc,User_1549253249513,0,0,0,1
88_3x648g6kkxi32f2,N24888,0,0,0,1
88_3xrjtf5bg4vu8ke,徒伤悲,0,0,0,1
88_3xdcsxew255edxw,l眼I在w酏,0,0,0,1
88_3xhs5mbtf9xf4ky,天玺爱王者呀！,0,0,0,1
88_3x7wk6r9z6wu82i,shsbs,0,0,0,1
88_3xgcjmesxauzesw,User_2695345087,0,0,0,1
88_3xtetvsed4k87x6,屋檐下看雨.,0,0,0,1
88_3x4a2eqm4f3ji2w,风雨兼程，携手共进,0,0,0,1
88_3xea2i8npm2x98e,成长中59,0,0,0,1
88_3xstbaxp4cuia5u,慕师:（雨晴）,0,0,0,1
88_3xa67bn5d47pee6,清浅,0,0,0,1
88_3xz5qwjvkqegntm,快手用户1687585194507,0,0,0,1
88_3xustz9uyvmw2tu,小会,0,0,0,1
88_3xvcnzrw9722kwm,腊月雨201,1,0,0.227177433,1
88_3xtyjrzvmv84vwa,阿之妈,0,0,0,1
88_3xmczfjdcy98fxk,魏益会,8,0,0,1
88_3xrmtajt7ffnr5a,User_2330763226,0,0,0,1
88_3x235p68f6kz5tq,、情伤ぁ,0,0,0,1
88_3xwppriqswth2c4,爱深入,0,0,0,1
88_3xresisqhm5djqi,川K零捌叁贰小伙,0,0,0,1
88_3xcbgkeyc7qg6pg,???w???,0,0,0,1
88_3x7ktgbby8d2zt4,我叫清明你叫河图好了,0,0,0,1
88_3xhjxb5fw6fnnqk,好想吃饭.,0,0,0,1
88_3xwtncchkyv2zvg,郑必全,0,0,0,1
88_3xz5iezyca76m4w,Yz^,0,0,0,1
88_3xvgjxy4isq6ntg,快手用户1673585963077,0,0,0,1
88_3xnna8rtmmmc5zs,快手用户1682815709577,0,0,0,1
88_3xzghmvrmy2d5ue,魔鬼 ~A,0,0,0,1
88_3xxvj7xwybunbus,[ 栀虞 ],9,0,-0.010839177,1
88_3x49f5i8c2hf9yi,雪岑岑岑岑,0,0,0,1
88_3xcp8yzi7gzppfm,稍纵即逝,0,0,0,1
88_3xmjcm8hbbp3wq9,快手用户1682218913319,0,0,0,1
88_3xakkpmwy3pxae4,各自安好03483,1,0,0.17683797,1
88_3x9v7s3qnuyzdfq,建国,0,0,0,1
88_3xgttxqsd9r9zvc,快手用户1669348387623,0,0,0,1
88_3xd9hh4gunq6aya,别人看到D e是嘴角上扬,0,0,0,1
88_3xqbnjjdhkkctgi,小和,0,0,0,1
88_3x9xpnev3x8nd2q,q（s奔赴星光t）r,0,0,0,1
88_3xraswvnkyzdrh4,霞77930,0,0,0,1
88_3xdjutauvk6kj36,?老头,0,0,0,1
88_3xni5nqasfczzgk,⒉蛔.,0,0,0,1
88_3xwe38mc3tgtf2m,语法城,0,0,0,1
88_3xyztjn2b5gv6eq,一生的回眸只为你2297,0,0,0,1
88_3xdbbkqtffjtffs,快手用户1680157985651,0,0,0,1
88_3x58kvgfnm8tqhm,User_1555312833660,0,0,0,1
88_3xcyf52hz9bq7wa,怪癖先生ll,0,0,0,1
88_3xf77nsxzde888m,相逢不易请你珍惜/,0,0,0,1
88_3xgf6pg5qay3334,曲比尔达1,0,0,0,1
88_3xgezr3a2h97feq,张生云677,0,0,0,1
88_3xze8tagbijjm2q,勇,0,0,0,1
88_3xuphtxsvv7vsuk,Isabella2129,0,0,0,1
88_3xsapgikk4nvcsq,? 心碎?不能愈?,0,0,0,1
88_3xzmrn9u9fjguys,程程,0,0,0,1
88_3xa2ycchhafxpcq,晓敏??,0,0,0,1
88_3x5k4nmehfe97dk,谢景行,0,0,0,1
88_3xetr4df9f56tsw,.我在写着这样一封信,4,0,0.062589984,1
88_3xd58g7v5zatks9,小歪,0,0,0,1
88_3xwj3uqve7g6kzw,微信用户70131,0,0,0,1
88_3x2tywja85rxf52,1-缺个白敬亭,0,0,0,1
88_3xkqb6bkdjfnfwm,依稀,0,0,0,1
88_3x2hsd4tt2yvbdw,铝模建筑辅材配件厂家,0,0,0,1
88_3xv7jkhrzrxrqwq,平凡的我Ⅻ2,0,0,0,1
88_3xtbs2phfyjj9yq,User_2759796293,0,0,0,1
88_3xewvgm7a9wzz7c,我！就是我！736,0,0,0,1
88_3xipp3bmukyntcu,婷大大T,0,0,0,1
88_3xa7ams3ns8cu74,竹雨啸,0,0,0,1
88_3xu9xiu8hhs7s4e,User_752890236,0,0,0,1
88_3xgjubyipr3jw4c,苦咖啡.,0,0,0,1
88_3x7uenj36htc2au,I a 音乐,0,0,0,1
88_3xj345qvfyxkcs4,浩爷摇摆,0,0,0,1
88_3xnr84hk5snvmy6,“琳”,0,0,0,1
88_3xzmv9nk77cad4a,程映琪.?,0,0,0,1
88_3x9ttqmmquebig2,你的女人,0,0,0,1
88_3xq7hxmq3gxpbr9,嗯。,0,0,0,1
88_3xkc2ci63wsmpfc,?花姐姐＠?,0,0,0,1
88_3xzj24tkbwyw8gu,画画的秋萍（朱秋萍）秋韵,6,1,0.228285595,1
88_3xrywwsmfh7ubtk,快手用户1670031657778,1,0,0.02070732,1
88_3xyktk37na39su9,＠死肥宅.,0,0,0,1
88_3xhrncdfsaeshj4,…阿金,0,0,0,1
88_3xb6ymqnx9bq5dc,冷水,0,0,0,1
88_3xxp5dfrhaeasr2,failure/,1,0,0.015664794,1
88_3xrz5adnc3czzcq,好男人17704,0,0,0,1
88_3xxeba9fjkymepk,王俊凯15745,0,0,0,1
88_3xmcdajn2w5b5d6,Poppy，ldw,0,0,0,1
88_3x4k8zrmf4e9vum,贫民窟的艺术家.,0,0,0,1
88_3xmpqrn8xdw5x2k,你哥何宇铄,593,440,0.016148785,0
88_3x2dz64eexbckbk,【爱的￥秘笈】,541,6,0.228285595,0
88_3x286gm2d3cgnb2,斗古镇发正养殖合作社,507,18,0.381723189,0
88_3xkdathyvvf3e36,＠袁冰妍,477,18,-0.010839177,0
88_3xt9k6ejsdmg6p4,茉莉花~小花花,471,30,-0.010839177,0
88_3xrm4sudvufxh7q,7_零碎,471,39,0.228285595,0
88_3xipmpe73ud56pa,＠玖hの小马?,460,64,0.228285595,0
88_3xtqwmmha9vq6py,草莓・??,420,26,-0.02401119,0
88_3xjqfmg3g3a8fcg,风?,406,115,0.162172658,0
88_3xjqfv3sk4j882s,0.0001,403,26,-0.023671661,0
88_3xmiv7vex4einwi,逃离网络,398,23,-0.02401119,0
88_3xztizrxk2nutky,等你,371,60,-0.010839177,0
88_3xd7qyz8s6pnkji,萌语馨,364,24,0.228285595,0
88_3xdfvkk7xsuymxi,雪梅6429,360,25,0.228285595,0
88_3xhi96zi5wsb2zw,??＠眼泪好咸??,342,48,0.162172658,0
88_3xdmgd497yrry7i,亵~．,325,25,-0.010839177,0
88_3xpfmwxt7csnat4,:??萍????,316,11,0.228285595,0
88_3xzx9kuk99xeyxy,悲伤小苓^.?,302,15,0.046654695,0
88_3xxn5cji6h79sca,青海湖的黄鱼,301,31,0.381723189,0
88_3xuwiashjvrp4w9,小崽不落泪?????,292,122,-0.02401119,0
88_3x8k384bk9sgk2w,塾脘^,285,13,-0.010839177,0
88_3xs24egj8m2vt6q,看不惯水默金罗去呀?,267,127,1,0
88_3xqkm2z6g3ats8e,白龙马（小号）,257,62,0.162172658,0
88_3xs9j92tkis24dg,快手用户1687520254017,254,33,1,0
88_3x5hwasu5tc595c,踏雪寻缘688,253,59,0.17683797,0
88_3x6rsug8ia2ct9m,快手用户1687279417564,241,22,-0.010839177,0
88_3xd2vsn52m6t576,四少?千里马5??,233,39,0.122276119,0
88_3x44djrrdq2hfiy,再见.,232,26,0.162172658,0
88_3x673q6gurgevqq,于素珍,231,12,0.228285595,0
88_3x25n5tp2pk2adq,?小芳765??,231,22,0.228285595,0
88_3xbactx4453m2ik,李美14821,227,10,0.162172658,0
88_3xxqm8k2x36fpka,tian,220,15,0.381723189,0
88_3x3jj2zrqbtnswk,??????????均,220,27,-0.02401119,0
88_3xukzrxxgszddyg,王连富往里富,216,2,0.228285595,0
88_3x5hw9hfk5dzira,、f纠结的偏执,201,3,0.191570107,0
88_3xprzn4xjgay9ug,??  ???????,196,60,0.141659416,0
88_3xcjsqd79tj7tk2,心里有cxk.,194,11,-0.010839177,0
88_3xamfd2afhadzgw,?祈愿小仪?,194,27,-0.010839177,0
88_3xv22dma5h7zraa,老吴（??好物复购）,191,11,-0.010839177,0
88_3xbaz6949nvzd5u,目涩?.,191,20,-0.010839177,0
88_3xivbe9g2uuf56m,czl猜,179,24,0.228285595,0
88_3xqv5fasfeeyf8m,仙C逸,177,49,0.251670878,0
88_3xxwdaukdt2dfki,世中一沙,176,43,0.228285595,0
88_3xkdmqx6r2w4xwc,蕃静才双全,172,18,0.228285595,0
88_3x6e5rdizsm6tkq,一米八大帅比,162,25,-0.010839177,0
88_3xihuyuje5f5niw,#NAME?,153,19,-0.010839177,0
88_3xr9b7tzevj4846,你不认识的,152,29,-0.028952527,0
88_3x4gk5zkduxgxw2,小姜,151,14,-0.010839177,0
88_3xuh35r7grbw3vc,-Анчиq#?,148,6,-0.010839177,0
88_3xdayjek3jmz73i,#NAME?,146,17,-0.010839177,0
88_3x5tfxzntmcyuuk,家乡美,145,8,0.228285595,0
88_3x26y95pqccxdv6,＠eh真心&,133,24,1,0
88_3xzeqg74zrfped9,小叶叶【铭心】,129,27,-0.010839177,0
88_3xbbsapygaxbuj2,＠一心向儒,128,39,-0.010839177,0
88_3xefpzsdvd373fy,A圈1.蒽皖1,126,27,0.006635415,0
88_3x72qayeis3y269,你认识花花吗?（限流中）,109,12,-0.010839177,0
88_3xed8kymwk7pmgg,#NAME?,108,2,0.040691281,0
88_3xuaae53gx2av32,十七,104,29,-0.010839177,0
88_3xs8tbemtcc8iw6,???R?an,103,38,-0.010839177,0
88_3xhjdv2aju37g8g,＠二郎&.,101,29,0.005250371,0
88_3xmzz8bhqwwkaew,? ??,100,18,-0.010839177,0
88_3x4di3diui5q94a,乔.妤.t.,98,14,-0.028952527,0
88_3xf87rnekq2t94i,A  5.,93,29,0.01520633,0
88_3xzs4cwefevms2e,许我常欢182,83,9,0.228285595,0
88_3xuwix7vyy4swwa,③秒忘记,71,14,0.024928158,0
88_3x4i5qcpmhi6xse,1_前妻,70,16,-0.010839177,0
88_3xg2guktfvsb4tw,单杀??,69,21,-0.010839177,0
88_3xwinitw9miktks,.    i9,66,10,-0.010839177,0
88_3xvcfdbkpua6utm,七桉.,63,20,-0.010839177,0
88_3x4vp3z8yzep3p9,奥妙-奇 趣 蛋?,59,17,-0.010839177,0
88_3xfjb5jqgvi4tna,2023.5.6 ?,58,13,-0.010839177,0
88_3xus4b6bqmaqdim,防.张小泽,57,21,-0.010839177,0
88_3xsbjmqx5y3wi9u,明天见,57,14,-0.02401119,0
88_3xygjpmta7wc6ne,为耀伸左手,54,15,-0.010839177,0
88_3xsqkbu93fgti76,俺叫小旭旭,53,10,-0.028952527,0
88_3xcgxyktqnia7nc,isex x .,53,14,-0.010839177,0
88_3xw9423695dgefm,|家潮牌集合店?,52,10,-0.010839177,0
88_3xwm4rwf6hdvxa4,以什么定义爱,49,10,1,0
88_3xsu8igwfs6c8dw,不想听情话.,46,8,-0.010839177,0
88_3xqywev5e9nbrbu,思念为玲,46,20,-0.010839177,0
88_3xuayxzsuqjqwju,快手用户1687590321228,45,3,0.39257015,0
88_3xbu8br8jyw3ngk,爱相随,45,16,0.39257015,0
88_3xusjkahy6zcryq,#NAME?,44,15,-0.010839177,0
88_3x2heemu5fgzyh9,源起缘灭,42,5,0.018366874,0
88_3xm4cz8zvwm5vva,???纯帅,38,10,0.051867499,0
88_3xd8dq29zvxei6c,武台亮哥,37,14,0.228285595,0
88_3x7gk5x6xpwssrs,?,32,13,-0.010839177,0
88_3xsqyak7mbeh2as,你可曾回过头,31,7,0.141659416,0
88_3xu8wiuztuar48m,旁观者??,30,14,0.022020857,0
88_3xsxdzhdib55nim,/mgSL而?,28,14,0.228285595,0
88_3xhw97xcttdfypq,e  .,25,9,-0.010839177,0
88_3x25s9tmhium374,什N萱^,22,14,0.018366874,0
88_3xn3pc6ipxhi8zy,李羽50,21,6,0.203546846,0
88_3xh7b92xdah7rs2,爱妻小钰^,21,14,1,0
88_3x5fgakr4x6nai6,・6 的鲨,19,8,-0.010839177,0
88_3xub7yz6i8559jq,琪 ? 鹿?～,16,10,0.167081324,0
88_3x9csb6ptjprp2a,温馨的家9486,12,6,0.228285595,0
88_3xvh9di4aibrpbs,会飞的鱼鱼耶,11,6,0.079945105,0
88_3x4z4dqqp4f58gu,为你上线?,10,7,0.02948749,0
88_3x3992hgg2jq8x6,Palpitation.,10,9,0.162172658,0
